run_id,timestamp_ms,raw_m,filtered_m,residual_m,label
1,144109,5.68,5.73,-0.05,0
1,144207,5.56,5.67,-0.11,0
1,144516,5.31,5.53,-0.22,0
1,144554,5.33,5.45,-0.12,0
1,144732,5.21,5.36,-0.15,0
1,144855,5.13,5.27,-0.14,0
1,144923,5.04,5.18,-0.14,0
1,145091,4.88,5.06,-0.18,0
1,145164,4.86,4.98,-0.12,0
1,145357,4.63,4.85,-0.22,0
1,145456,4.54,4.73,-0.19,0
1,145548,4.46,4.62,-0.16,0
1,145691,4.34,4.51,-0.17,0
1,145779,4.24,4.41,-0.17,0
1,145982,3.94,4.22,-0.28,0
1,146005,3.90,4.10,-0.20,0
1,146139,3.92,4.03,-0.11,0
1,146317,4.02,4.03,-0.01,0
1,146380,4.03,4.03,0.00,0
1,146583,3.71,3.90,-0.19,0
1,146676,3.56,3.77,-0.21,0
1,146799,3.23,3.56,-0.33,0
1,146872,3.18,3.41,-0.23,0
1,147040,3.04,3.27,-0.23,0
1,147168,2.95,3.14,-0.19,0
1,147240,2.93,3.06,-0.13,0
1,147383,3.01,3.04,-0.03,0
1,147447,3.01,3.03,-0.02,0
1,147650,3.05,3.04,0.01,0
1,147783,2.93,3.00,-0.07,0
1,147840,2.77,2.91,-0.14,0
1,147913,2.43,2.72,-0.29,0
1,148106,2.02,2.45,-0.43,0
1,148164,2.24,2.37,-0.13,0
1,148287,2.17,2.29,-0.12,0
1,148406,2.10,2.22,-0.12,0
1,148564,2.06,2.15,-0.09,0
1,148731,1.94,2.07,-0.13,0
1,148789,1.93,2.02,-0.09,0
1,148932,1.81,1.94,-0.13,0
1,149100,1.71,1.85,-0.14,0
1,149149,1.65,1.77,-0.12,0
1,149307,1.53,1.68,-0.15,0
1,149390,1.49,1.60,-0.11,0
1,149583,1.51,1.57,-0.06,0
1,149641,1.46,1.53,-0.07,0
1,149724,1.45,1.50,-0.05,0
1,149857,1.37,1.45,-0.08,0
1,150050,1.30,1.39,-0.09,0
2,185717,6.50,6.55,-0.05,0
2,185786,6.53,6.54,-0.01,0
2,185933,6.53,6.53,-0.00,0
2,186111,6.54,6.54,0.00,0
2,186129,6.53,6.53,-0.00,0
2,186328,6.53,6.53,-0.00,0
2,186435,6.52,6.53,-0.01,0
2,186508,6.48,6.51,-0.03,0
2,186626,6.53,6.52,0.01,0
2,186760,6.49,6.51,-0.02,0
2,186928,6.45,6.48,-0.03,0
2,187001,6.31,6.42,-0.11,0
2,187093,6.17,6.32,-0.15,0
2,187241,6.28,6.30,-0.02,0
2,187409,6.23,6.28,-0.05,0
2,187442,6.22,6.25,-0.03,0
2,187625,6.10,6.19,-0.09,0
2,187743,6.00,6.12,-0.12,0
2,187817,5.92,6.04,-0.12,0
2,187984,5.80,5.95,-0.15,0
2,188057,5.80,5.89,-0.09,0
2,188245,5.65,5.80,-0.15,0
2,188343,5.56,5.70,-0.14,0
2,188442,5.49,5.62,-0.13,0
2,188585,5.47,5.56,-0.09,0
2,188668,5.41,5.50,-0.09,0
2,188871,5.24,5.40,-0.16,0
2,188893,5.22,5.33,-0.11,0
2,189027,5.08,5.23,-0.15,0
2,189210,4.97,5.13,-0.16,0
2,189268,4.84,5.02,-0.18,0
2,189471,4.70,4.89,-0.19,0
2,189569,4.76,4.84,-0.08,0
2,190059,4.49,4.70,-0.21,0
2,190133,4.64,4.68,-0.04,0
2,190275,4.13,4.46,-0.33,0
2,190334,4.03,4.30,-0.27,0
2,190542,3.85,4.12,-0.27,0
2,190670,3.81,4.00,-0.19,0
2,190732,3.94,3.98,-0.04,0
2,190806,3.97,3.97,-0.00,0
2,191296,3.79,3.90,-0.11,0
2,191450,3.43,3.72,-0.29,0
2,191617,3.07,3.46,-0.39,0
2,191681,3.02,3.29,-0.27,0
2,191824,2.89,3.13,-0.24,0
2,191992,2.82,3.01,-0.19,0
2,192039,2.88,2.96,-0.08,0
2,192197,3.05,3.00,0.05,0
2,192532,2.83,2.93,-0.10,0
2,192616,2.83,2.89,-0.06,0
2,192748,2.57,2.77,-0.20,0
2,192942,2.20,2.55,-0.35,0
2,193000,2.14,2.39,-0.25,0
2,193083,2.09,2.27,-0.18,0
2,193285,2.07,2.19,-0.12,0
2,193384,2.13,2.17,-0.04,0
2,193551,1.99,2.10,-0.11,0
2,193589,1.89,2.02,-0.13,0
2,193732,1.68,1.89,-0.21,0
2,193911,1.62,1.78,-0.16,0
2,193949,1.66,1.73,-0.07,0
2,194092,1.60,1.68,-0.08,0
2,194199,1.58,1.64,-0.06,0
3,275790,7.00,7.00,0.00,0
3,275864,6.96,6.97,-0.01,0
3,276006,7.00,6.98,0.02,0
3,276195,7.03,7.00,0.03,0
3,276403,6.99,7.00,-0.01,0
3,277071,7.01,7.00,0.01,0
3,277170,7.00,7.00,-0.00,0
3,277312,7.01,7.00,0.01,0
3,277889,6.74,6.90,-0.16,0
3,278128,6.57,6.77,-0.20,0
3,278321,6.30,6.59,-0.29,0
3,279099,5.79,6.28,-0.49,0
3,279282,5.70,6.05,-0.35,0
3,279340,5.67,5.90,-0.23,0
3,279543,5.55,5.76,-0.21,0
3,280347,4.82,5.40,-0.58,0
3,280611,4.64,5.10,-0.46,0
3,280744,4.56,4.89,-0.33,0
3,280808,4.54,4.75,-0.21,0
3,280875,4.49,4.65,-0.16,0
3,281371,4.41,4.56,-0.15,0
3,281524,3.98,4.33,-0.35,0
3,281692,3.79,4.12,-0.33,0
3,281756,3.66,3.94,-0.28,0
3,281899,3.67,3.83,-0.16,0
3,282066,3.50,3.70,-0.20,0
3,282115,3.58,3.66,-0.08,0
3,282268,3.70,3.67,0.03,0
3,282356,3.69,3.68,0.01,0
3,282543,3.32,3.54,-0.22,0
3,282606,3.13,3.38,-0.25,0
3,282690,2.88,3.18,-0.30,0
3,282823,2.86,3.06,-0.20,0
3,283016,2.55,2.86,-0.31,0
3,283073,2.44,2.70,-0.26,0
3,283156,2.66,2.68,-0.02,0
3,283360,2.80,2.73,0.07,0
3,283458,2.81,2.76,0.05,0
3,283626,2.51,2.66,-0.15,0
3,283664,2.38,2.55,-0.17,0
3,283807,1.99,2.33,-0.34,0
3,283985,1.92,2.17,-0.25,0
3,284023,1.85,2.05,-0.20,0
3,284166,1.83,1.96,-0.13,0
3,284273,1.79,1.89,-0.10,0
3,284451,1.79,1.85,-0.06,0
3,284480,1.76,1.82,-0.06,0
3,284608,1.76,1.79,-0.03,0
3,284740,1.65,1.74,-0.09,0
3,284849,1.59,1.68,-0.09,0
3,284971,1.49,1.61,-0.12,0
4,336042,7.15,7.34,-0.19,0
4,337410,5.97,6.63,-0.66,0
4,337533,5.96,6.34,-0.38,0
4,337651,5.80,6.12,-0.32,0
4,338393,7.14,6.52,0.62,0
4,338552,6.68,6.58,0.10,0
4,338635,5.02,5.97,-0.95,0
4,338969,4.93,5.57,-0.64,0
4,339102,5.07,5.37,-0.30,0
4,339295,4.87,5.18,-0.31,0
4,339645,3.83,4.65,-0.82,0
4,339739,3.59,4.24,-0.65,0
4,339906,3.62,4.00,-0.38,0
4,339944,3.68,3.87,-0.19,0
4,340087,3.67,3.79,-0.12,0
4,340265,3.73,3.77,-0.04,0
4,340304,3.77,3.77,0.00,0
4,340447,3.67,3.73,-0.06,0
4,340554,3.52,3.65,-0.13,0
4,340737,3.13,3.45,-0.32,0
4,340760,2.98,3.26,-0.28,0
4,340893,2.88,3.11,-0.23,0
4,341021,2.91,3.03,-0.12,0
4,341129,2.72,2.91,-0.19,0
4,341252,2.69,2.83,-0.14,0
4,341466,2.91,2.86,0.05,0
4,341574,2.88,2.87,0.01,0
4,341681,2.70,2.80,-0.10,0
4,341770,2.52,2.69,-0.17,0
4,341878,2.24,2.52,-0.28,0
4,342021,1.99,2.31,-0.32,0
4,342163,1.84,2.13,-0.29,0
4,342297,1.76,1.98,-0.22,0
4,342329,1.79,1.91,-0.12,0
4,342548,1.67,1.82,-0.15,0
4,342646,1.62,1.74,-0.12,0
4,342693,1.51,1.65,-0.14,0
4,342836,1.53,1.60,-0.07,0
4,342979,1.47,1.55,-0.08,0
4,343053,1.42,1.50,-0.08,0
4,343255,1.29,1.42,-0.13,0
4,343338,1.24,1.35,-0.11,0
4,343482,1.24,1.31,-0.07,0
4,343545,1.22,1.27,-0.05,0
4,343723,1.19,1.24,-0.05,0
5,378338,9.41,9.41,0.00,0
5,379061,8.88,8.96,-0.08,0
5,379310,8.62,8.78,-0.16,0
5,379478,8.58,8.70,-0.12,0
5,379995,7.88,8.36,-0.48,0
5,380174,7.91,8.18,-0.27,0
5,380297,7.85,8.05,-0.20,0
5,380369,7.78,7.95,-0.17,0
5,380537,7.71,7.85,-0.14,0
5,380605,7.65,7.77,-0.12,0
5,380798,7.56,7.69,-0.13,0
5,380897,7.48,7.61,-0.13,0
5,380990,7.40,7.53,-0.13,0
5,383285,5.25,6.64,-1.39,0
5,383353,5.10,6.04,-0.94,0
5,383546,5.04,5.65,-0.61,0
5,383609,5.02,5.40,-0.38,0
5,383848,5.30,5.36,-0.06,0
5,384172,4.85,5.16,-0.31,0
5,384376,4.42,4.87,-0.45,0
5,384544,4.05,4.55,-0.50,0
5,384592,4.03,4.35,-0.32,0
5,384746,3.97,4.20,-0.23,0
5,384833,3.89,4.08,-0.19,0
5,385022,4.26,4.15,0.11,0
5,385165,4.22,4.18,0.04,0
5,385299,3.86,4.05,-0.19,0
5,385492,3.31,3.76,-0.45,0
5,385549,3.13,3.52,-0.39,0
5,385638,3.03,3.33,-0.30,0
5,385841,2.91,3.16,-0.25,0
5,385934,2.92,3.07,-0.15,0
5,386102,3.02,3.05,-0.03,0
5,386140,3.05,3.05,0.00,0
5,386282,2.86,2.98,-0.12,0
5,386466,2.56,2.81,-0.25,0
5,386499,2.37,2.64,-0.27,0
5,386642,2.11,2.43,-0.32,0
5,386750,2.01,2.27,-0.26,0
5,386933,1.96,2.15,-0.19,0
5,386956,1.95,2.07,-0.12,0
5,387088,1.88,2.00,-0.12,0
5,387221,1.82,1.93,-0.11,0
5,387329,1.76,1.86,-0.10,0
5,387447,1.67,1.79,-0.12,0
5,387666,1.56,1.70,-0.14,0
5,387774,1.43,1.59,-0.16,0
5,387881,1.44,1.53,-0.09,0
5,387965,1.35,1.46,-0.11,0
